id,structure_613f3,structure_1da1a,structure_c7523,structure_aa9fb,structure_d0964,structure_e6340,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
5ba5e,llama-3-70b,claude-v3-sonnet,gpt-4-turbo,original,original,claude-v3-haiku,6.497635515342125,0.48119147793449324,-8.078036447464232,4.911435114173218,177695645.5401889,140.75817341798793,False,False,True
77576,llama-3-70b,original,gpt-3.5-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,18.84123281298743,6.264245731445096,-20.504862738864198,4.26305817165412,167369722.49074188,156.9425659889091,False,False,True
44b3c,original,mistral-large,llama-3-8b,gpt-4-o,gpt-4-turbo,claude-v3-opus,1.0104685423278137,0.6104479316771284,0.3614152644756462,5.199661670764908,177464851.89093676,129.76683931654534,False,False,False
7cf87,mistral-large,claude-v3-sonnet,mistral-large,original,original,original,-0.5760837565601223,-0.36052186990506113,-0.16743067716739257,5.282999121258035,179198565.42965865,130.455595248944,True,True,True
edfa8,original,claude-v3-sonnet,gpt-4-turbo,gpt-4-o,gpt-4-turbo,claude-v3-opus,-0.32951318135791313,-1.6671065345898668,-1.7585155682451288,5.270047412626445,181531535.53744084,132.52778503312763,True,True,True
70381,original,original,original,original,original,original,0.0,0.0,0.0,5.252738945418969,178554836.19540107,130.23753765771755,False,False,False
fc7d4,gpt-4-o,original,original,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,20.274020643131667,6.821175860228431,-25.06578737416285,4.18779756729491,166375296.81156996,162.8826019283463,False,False,True
ce5ab,llama-3-70b,original,llama-3-8b,gpt-4-o,gpt-4-turbo,claude-v3-sonnet,7.991344762409631,-0.6590865185250775,-9.989106815441477,4.832974466821179,179731667.0489395,143.24710440814778,False,True,True
b72f9,llama-3-70b,mistral-large,gpt-3.5-turbo,gpt-4-o,gpt-4-turbo,claude-v3-haiku,7.791443884887546,1.7294259891245696,-11.330597292115836,4.843474738067016,175466862.453399,144.99422857288124,False,False,True
55b78,original,llama-3-8b,gpt-3.5-turbo,gpt-4-o,gpt-4-turbo,claude-v3-opus,11.827123005378501,4.3446692384356815,-14.029367486380172,4.631491049192846,170797219.15348026,148.5090404209315,False,False,True
b7609,original,claude-v3-sonnet,gpt-4-turbo,gpt-4-o,original,claude-v3-haiku,0.7063336704113286,0.11555062162072,-0.3596585331778386,5.215637081628666,178348514.97224343,130.70594807530424,False,False,True
d5a2b,original,claude-v3-sonnet,gpt-4-turbo,original,gpt-4-turbo,claude-v3-opus,0.529764113857245,-0.35376895032505634,-0.9316006791230835,5.224911819491536,179186507.76516417,131.45083144301003,False,True,True
c4291,claude-v3-opus,llama-3-8b,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-haiku,30.869500801142216,12.757965420555632,-46.88516836793947,3.631244654580951,155774871.93686205,191.299626466797,False,False,True
a7f29,llama-3-70b,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-haiku,18.487218604988712,7.315246235414621,-23.387016679377826,4.281653613829985,165493110.26246625,160.69621231253893,False,False,True
a3908,claude-v3-opus,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,20.00913415674891,7.168271230151437,-27.217887844381004,4.201711362926289,165755541.2423621,165.6854445886786,False,False,True
80e7f,llama-3-70b,claude-v3-sonnet,original,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,17.588979560852163,5.660338860889828,-22.8204422416209,4.328835765924305,168448027.4142346,159.95831971580625,False,False,True
