id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
156de,gpt-4-o,gpt-4-o_2,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o_1,original,original,original,gpt-4-o,original,original,0.6876007426443448,-0.6197621741556485,-0.01536371013673096,24.63660682613651,8192031.007867143,99.93259226186257,False,True,True
d8b51,gpt-4-o,gpt-4-o_2,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.3865085221416436,0.38633549429844677,-0.03706246814218721,24.711299318820238,8110118.835557956,99.95427306225072,False,False,True
d154e,original,original,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,-0.08284024824918117,0.8857912031384336,0.002152539549627071,24.827731518695753,8069455.286316092,99.9150905084026,True,False,False
8c86f,original,gpt-4-o_2,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,0.7889551244686202,0.6672967061415276,-0.009099698302098488,24.611463660995167,8087244.174460639,99.92633343404479,False,False,True
e95e8,original,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o_1,gpt-4-o,original,gpt-4-o,original,original,original,-0.1950045956131674,-10.09516441424577,-0.006542530144468919,24.855556331574917,8963477.762317628,99.92377838216714,True,True,True
a3c12,original,gpt-4-o_2,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o_1,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,-0.01787617707767028,-9.640155516363823,-0.022530910858886824,24.811615763852995,8926432.882467357,99.93975353110018,True,True,True
ce389,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,0.7683823176352498,-8.51863567862484,-0.0019058234807344681,24.616567194461823,8835123.530425819,99.91914551278312,False,True,True
e0bdd,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,0.9104508201289032,-8.550656451967457,0.00397806783812182,24.581324003636837,8837730.524941117,99.9132664908982,False,True,False
69b1a,original,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,original,gpt-4-o,original,original,original,-0.7938922981694327,-9.60615511545899,-0.012997572283872098,25.004123489061993,8923664.715136468,99.93022808219543,True,True,True
29bbe,gpt-4-o,gpt-4-o_2,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o_1,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,0.8402463373093799,-8.11722783223072,0.0069674189491564205,24.598739756892126,8802442.61910772,99.91027961373628,False,True,False
ff401,original,original,original,gpt-4-o,original,original,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.5487651514144378,-9.256918297183939,0.0025821707491425565,24.671048022806644,8895231.345959485,99.91466123276042,False,True,False
3d487,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,0.9177818611760021,-9.572695713467407,-0.003436702372106728,24.5795053790013,8920940.593624977,99.92067512473851,False,True,True
ca7c6,original,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,0.7252257847176684,-8.886043888059179,0.014472746604687415,24.62727311377724,8865036.33661017,99.90278049739486,False,True,False
f9cb1,original,gpt-4-o_2,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,1.0635647344404406,-7.880607500606905,0.012346471905638945,24.543340757489204,8783178.002973972,99.9049050124159,False,True,False
a6f82,original,gpt-4-o_2,original,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o_1,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,0.5011889700917359,-9.295578657613936,-0.0037012580156167013,24.6828503323098,8898378.907279195,99.92093946143912,False,True,True
0595d,gpt-4-o,gpt-4-o_2,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,-0.3312091512711579,-10.10182812948789,-0.0050677080046396435,24.8893448424836,8964020.29353328,99.92230478057144,True,True,True
90c5a,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o_1,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,-1.399481344616253,-10.075476405854857,-0.012509797870926358,25.154353061070044,8961874.848816974,99.92974071145841,True,True,True
